SearchBayesianSkopt: Resuming 'PureSVDRecommender' Failed, no such file exists.
CUTOFF: 50 - PRECISION: 0.1882927, PRECISION_RECALL_MIN_DEN: 0.5458124, RECALL: 0.5338367, MAP: 0.0984806, MAP_MIN_DEN: 0.2294455, MRR: 0.6621846, NDCG: 0.4331810, F1: 0.2783921, HIT_RATE: 0.9968187, ARHR_ALL_HITS: 1.4785984, NOVELTY: 0.2693643, AVERAGE_POPULARITY: 0.3571780, DIVERSITY_MEAN_INTER_LIST: 0.8392482, DIVERSITY_HERFINDAHL: 0.9967672, COVERAGE_ITEM: 0.3935791, COVERAGE_ITEM_HIT: 0.3406659, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.9968187, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.1709452, SHANNON_ENTROPY: 8.5750397, 
CUTOFF: 1681 - PRECISION: 0.0140239, PRECISION_RECALL_MIN_DEN: 1.0000000, RECALL: 1.0000000, MAP: 0.0047402, MAP_MIN_DEN: 0.2737089, MRR: 0.6622179, NDCG: 0.5568280, F1: 0.0276599, HIT_RATE: 1.0000000, ARHR_ALL_HITS: 1.5642525, NOVELTY: 11.4002989, AVERAGE_POPULARITY: 0.0899596, DIVERSITY_MEAN_INTER_LIST: 0.0922620, DIVERSITY_HERFINDAHL: 0.9994025, COVERAGE_ITEM: 1.0000000, COVERAGE_ITEM_HIT: 0.8335315, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 1.0000000, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.9670957, SHANNON_ENTROPY: 10.7121394, 

SearchBayesianSkopt: Config 6 is suboptimal. Config: {'num_factors': 17} - results: PRECISION: 0.0218452, PRECISION_RECALL_MIN_DEN: 0.2184517, RECALL: 0.2184517, MAP: 0.0086170, MAP_MIN_DEN: 0.0861700, MRR: 0.0861700, NDCG: 0.1171991, F1: 0.0397185, HIT_RATE: 0.2184517, ARHR_ALL_HITS: 0.0861700, NOVELTY: 0.0507434, AVERAGE_POPULARITY: 0.4863788, DIVERSITY_MEAN_INTER_LIST: 0.9208464, DIVERSITY_HERFINDAHL: 0.9919870, COVERAGE_ITEM: 0.2021403, COVERAGE_ITEM_HIT: 0.0523187, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.2184517, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0755994, SHANNON_ENTROPY: 7.4107692, 
SearchBayesianSkopt: New best config found. Config 7: {'num_factors': 11} - results: PRECISION: 0.0233298, PRECISION_RECALL_MIN_DEN: 0.2332980, RECALL: 0.2332980, MAP: 0.0089972, MAP_MIN_DEN: 0.0899716, MRR: 0.0899716, NDCG: 0.1232765, F1: 0.0424178, HIT_RATE: 0.2332980, ARHR_ALL_HITS: 0.0899716, NOVELTY: 0.0503252, AVERAGE_POPULARITY: 0.5078572, DIVERSITY_MEAN_INTER_LIST: 0.9059335, DIVERSITY_HERFINDAHL: 0.9904973, COVERAGE_ITEM: 0.1730083, COVERAGE_ITEM_HIT: 0.0517241, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.2332980, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0635715, SHANNON_ENTROPY: 7.1597318, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'num_factors': 11} - results:
CUTOFF: 5 - PRECISION: 0.4074231, PRECISION_RECALL_MIN_DEN: 0.4103924, RECALL: 0.1322858, MAP: 0.3222446, MAP_MIN_DEN: 0.3240315, MRR: 0.6319194, NDCG: 0.3340006, F1: 0.1997236, HIT_RATE: 0.8441145, ARHR_ALL_HITS: 1.0093319, NOVELTY: 0.0247063, AVERAGE_POPULARITY: 0.5596292, DIVERSITY_MEAN_INTER_LIST: 0.9269229, DIVERSITY_HERFINDAHL: 0.9851880, COVERAGE_ITEM: 0.1260404, COVERAGE_ITEM_HIT: 0.1111772, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.8441145, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0444112, SHANNON_ENTROPY: 6.6225085, 
CUTOFF: 10 - PRECISION: 0.3428420, PRECISION_RECALL_MIN_DEN: 0.3877317, RECALL: 0.2146541, MAP: 0.2435965, MAP_MIN_DEN: 0.2656575, MRR: 0.6421014, NDCG: 0.3391713, F1: 0.2640106, HIT_RATE: 0.9172853, ARHR_ALL_HITS: 1.1916662, NOVELTY: 0.0503252, AVERAGE_POPULARITY: 0.5078572, DIVERSITY_MEAN_INTER_LIST: 0.9059335, DIVERSITY_HERFINDAHL: 0.9904973, COVERAGE_ITEM: 0.1730083, COVERAGE_ITEM_HIT: 0.1498216, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.9172853, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0635715, SHANNON_ENTROPY: 7.1597318, 
CUTOFF: 50 - PRECISION: 0.1868929, PRECISION_RECALL_MIN_DEN: 0.5378182, RECALL: 0.5258652, MAP: 0.0978332, MAP_MIN_DEN: 0.2222928, MRR: 0.6468229, NDCG: 0.4264209, F1: 0.2757751, HIT_RATE: 0.9968187, ARHR_ALL_HITS: 1.4541678, NOVELTY: 0.2675130, AVERAGE_POPULARITY: 0.3695523, DIVERSITY_MEAN_INTER_LIST: 0.8242956, DIVERSITY_HERFINDAHL: 0.9964684, COVERAGE_ITEM: 0.3626635, COVERAGE_ITEM_HIT: 0.3151011, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.9968187, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.1556794, SHANNON_ENTROPY: 8.4346576, 
CUTOFF: 1681 - PRECISION: 0.0140239, PRECISION_RECALL_MIN_DEN: 1.0000000, RECALL: 1.0000000, MAP: 0.0047604, MAP_MIN_DEN: 0.2676229, MRR: 0.6468642, NDCG: 0.5531123, F1: 0.0276599, HIT_RATE: 1.0000000, ARHR_ALL_HITS: 1.5416746, NOVELTY: 11.4002989, AVERAGE_POPULARITY: 0.0899596, DIVERSITY_MEAN_INTER_LIST: 0.0922620, DIVERSITY_HERFINDAHL: 0.9994025, COVERAGE_ITEM: 1.0000000, COVERAGE_ITEM_HIT: 0.8335315, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 1.0000000, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.9670957, SHANNON_ENTROPY: 10.7121394, 
